scene,variant,param,min,max,mean,median,std,p25,p75,iqr
seq_2_frame_105,HO_128,l_c,0.000811467063613236,0.12815266847610474,0.005962643772363663,0.004999999888241291,0.005888477433472872,0.0025080854538828135,0.006432731170207262,0.003924645716324449
seq_2_frame_105,HO_128,tau,0.09363584220409393,0.9372807145118713,0.5014898180961609,0.5,0.0647437795996666,0.5,0.5,0.0
seq_2_frame_105,HO_128,thickness,0.02155984193086624,0.5495343804359436,0.15074698626995087,0.14999999105930328,0.034542977809906006,0.13802585378289223,0.16280486434698105,0.02477901056408882
seq_2_frame_105,HO_8,eps_real,3.5454905033111572,7.077099323272705,5.304897785186768,5.309999942779541,0.2709873914718628,5.2223944664001465,5.417080760002136,0.19468629360198975
seq_2_frame_105,HO_8,eps_imag,0.0009118819725699723,0.10085752606391907,0.01862422190606594,0.017413977533578873,0.00960832741111517,0.01076251338236034,0.02641420904546976,0.01565169566310942
seq_2_frame_105,HO_8,sigma_h,6.589228860320873e-07,0.0009118819725699723,6.689698784612119e-05,4.711079236585647e-05,6.976233271416277e-05,1.9866751699737506e-05,7.961122719279956e-05,5.9744475493062055e-05
seq_2_frame_105,HO_8,l_c,0.0008491151384077966,0.14032244682312012,0.005911786574870348,0.004999999888241291,0.005959962960332632,0.0023610255448147655,0.006414415896870196,0.00405339035205543
seq_2_frame_105,HO_8,tau,0.08466427028179169,0.9346382021903992,0.5024869441986084,0.5,0.06708058714866638,0.5,0.5,0.0
seq_2_frame_105,HO_8,thickness,0.023829733952879906,0.5198007822036743,0.1507846862077713,0.14999999105930328,0.03478233516216278,0.13757475465536118,0.16319682821631432,0.02562207356095314
seq_2_frame_105,UB_144,eps_real,3.5725455284118652,7.669380187988281,5.300139904022217,5.309999942779541,0.25698909163475037,5.2246798276901245,5.3998109102249146,0.17513108253479004
seq_2_frame_105,UB_144,eps_imag,0.0009118819725699723,0.06157161667943001,0.01863545924425125,0.01762724108994007,0.009463761933147907,0.010684929322451353,0.026461832225322723,0.01577690290287137
seq_2_frame_105,UB_144,sigma_h,6.127123128862877e-07,0.0009118819725699723,6.0982762079220265e-05,4.4528060243465006e-05,6.474190740846097e-05,1.9275574686616892e-05,6.670094990113284e-05,4.742537521451595e-05
